# OUI → vendor table for passive host observation (shared/hostobs).
#
# Source of truth for shared/hostobs/oui_gen.go. Edit here and run
# `make generate`; `make audit` fails if the generated Go drifts.
#
# WHAT THIS IS: a curated subset of IEEE MA-L assignments covering the
# manufacturers that actually turn up on an enterprise or OT segment. It is
# NOT the IEEE registry — that file is ~35,000 rows and changes weekly, and
# compiling it into the sensor would add a megabyte to a binary that
# cross-compiles to five platforms.
#
# WHAT AN ABSENT PREFIX MEANS: no vendor, not a guess. An unmatched OUI
# leaves hw.vendor unset, which the consumer must read as "not determined" —
# never as "unknown manufacturer". Guessing a vendor from a neighbouring
# prefix would be exactly the fabricated-confidence failure this codebase
# keeps paying for.
#
# LOCALLY-ADMINISTERED PREFIXES (the U/L bit set in the first octet) are
# looked up like any other, but a hit means the VIRTUALISATION PLATFORM, not
# the hardware: 52:54:00 is QEMU's synthetic NIC, not a manufacturer. The
# observation carries mac_locally_administered alongside, so a consumer can
# tell the two apart. A randomised phone MAC matches nothing here, which is
# the correct answer.
#
# Format: prefix,vendor — prefix is the 24-bit OUI as AA:BB:CC (upper case).
# Lines beginning with # and blank lines are ignored. Duplicate prefixes are
# a generator error.

prefix,vendor

# --- Workstations, laptops, phones ---------------------------------------
00:03:93,Apple
00:0A:95,Apple
00:1B:63,Apple
00:25:00,Apple
28:CF:DA,Apple
3C:07:54,Apple
60:33:4B,Apple
AC:BC:32,Apple
D0:23:DB,Apple
F0:B4:79,Apple
00:06:5B,Dell
00:14:22,Dell
00:1E:4F,Dell
00:21:9B,Dell
18:03:73,Dell
24:B6:FD,Dell
44:A8:42,Dell
B8:2A:72,Dell
D4:AE:52,Dell
F8:BC:12,Dell
00:01:E6,Hewlett Packard
00:0B:CD,Hewlett Packard
00:1B:78,Hewlett Packard
00:23:7D,Hewlett Packard
00:30:C1,Hewlett Packard
08:00:09,Hewlett Packard
3C:4A:92,Hewlett Packard
78:AC:C0,Hewlett Packard
94:18:82,Hewlett Packard
EC:B1:D7,Hewlett Packard
00:02:B3,Intel
00:03:47,Intel
00:07:E9,Intel
00:0C:F1,Intel
00:13:02,Intel
00:15:17,Intel
00:1B:21,Intel
00:1E:64,Intel
00:21:6A,Intel
00:24:D7,Intel
3C:97:0E,Intel
5C:51:4F,Intel
7C:7A:91,Intel
8C:70:5A,Intel
A0:88:69,Intel
DC:53:60,Intel
F8:16:54,Intel
00:01:6C,Hon Hai Precision
00:16:CE,Hon Hai Precision
00:1B:24,Hon Hai Precision
00:1E:68,Hon Hai Precision
00:23:4D,Hon Hai Precision
28:D2:44,Hon Hai Precision
68:94:23,Hon Hai Precision
90:4C:E5,Hon Hai Precision
00:0C:6E,ASUSTek Computer
00:15:F2,ASUSTek Computer
00:1A:92,ASUSTek Computer
00:22:15,ASUSTek Computer
2C:56:DC,ASUSTek Computer
50:46:5D,ASUSTek Computer
AC:22:0B,ASUSTek Computer
BC:AE:C5,ASUSTek Computer
00:16:17,Micro-Star International
00:21:85,Micro-Star International
8C:89:A5,Micro-Star International
D8:CB:8A,Micro-Star International
00:1D:7D,GIGA-BYTE Technology
1C:6F:65,GIGA-BYTE Technology
50:E5:49,GIGA-BYTE Technology
94:DE:80,GIGA-BYTE Technology
00:00:39,Toshiba
00:08:0D,Toshiba
00:26:6C,Toshiba
00:00:0E,Fujitsu
00:17:42,Fujitsu
90:1B:0E,Fujitsu
00:04:AC,IBM
00:09:6B,IBM
00:11:25,IBM
00:1A:64,IBM
08:00:5A,IBM
00:07:AB,Samsung Electronics
00:15:99,Samsung Electronics
00:17:C9,Samsung Electronics
00:21:19,Samsung Electronics
34:23:BA,Samsung Electronics
5C:0A:5B,Samsung Electronics
78:1F:DB,Samsung Electronics
E8:50:8B,Samsung Electronics
00:1C:62,LG Electronics
00:1E:75,LG Electronics
00:21:FB,LG Electronics
10:68:3F,LG Electronics
A8:16:D0,LG Electronics
CC:FA:00,LG Electronics
00:18:82,Huawei Technologies
00:1E:10,Huawei Technologies
00:25:9E,Huawei Technologies
00:E0:FC,Huawei Technologies
28:6E:D4,Huawei Technologies
4C:1F:CC,Huawei Technologies
AC:E2:15,Huawei Technologies
00:15:EB,ZTE
00:19:C6,ZTE
00:1E:73,ZTE
34:4B:50,ZTE
0C:1D:AF,Xiaomi
14:F6:5A,Xiaomi
28:6C:07,Xiaomi
50:8F:4C,Xiaomi
64:09:80,Xiaomi
8C:BE:BE,Xiaomi
